                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.43261,                0.48567,                0.34277,                 0.8329,                0.93025,                0.81579,                0.89437,                0.77881,                0.93833,                0.80077,                0.87234,                0.49596,                0.61606,                0.31763,                0.45189,                0.96582,             0.00050711,             0.00050711,             0.00050711
                     89,                0.44018,                0.50123,                0.34529,                0.83571,                0.93719,                0.81579,                0.88572,                0.76955,                0.92129,                0.80263,                0.86874,                0.48738,                0.62453,                0.31983,                0.45555,                0.95903,             0.00044761,             0.00044761,             0.00044761
                     90,                0.45091,                0.50488,                0.37698,                0.83066,                0.85834,                0.86842,                0.89195,                0.77286,                0.84423,                0.85573,                0.86811,                0.50949,                0.61279,                0.32599,                0.46074,                0.97687,             0.00039264,             0.00039264,             0.00039264
                     91,                0.36902,                0.35399,                0.30994,                0.79733,                0.89114,                0.81579,                0.86328,                0.75783,                0.87659,                0.80263,                 0.8543,                0.49417,                0.60318,                0.33274,                0.47568,                0.96551,             0.00034227,             0.00034227,             0.00034227
                     92,                0.35951,                0.34407,                0.30472,                0.80359,                0.88145,                0.81579,                0.85908,                 0.7527,                0.89843,                0.78947,                0.84991,                 0.4825,                0.61103,                0.34278,                0.48934,                  0.962,             0.00029655,             0.00029655,             0.00029655
                     93,                0.34551,                0.34087,                0.30384,                0.81224,                0.85477,                0.85526,                0.85603,                0.75298,                0.89264,                0.80263,                0.83977,                0.47179,                0.60704,                 0.3439,                0.48868,                0.95863,             0.00025551,             0.00025551,             0.00025551
                     94,                0.36448,                0.34343,                0.29623,                0.80854,                0.88667,                0.82362,                 0.8653,                0.75196,                0.87256,                0.81087,                 0.8441,                0.47372,                0.61036,                 0.3376,                0.49187,                0.95899,             0.00021921,             0.00021921,             0.00021921
                     95,                0.35364,                0.34955,                 0.3145,                0.81602,                0.89811,                0.82895,                 0.8683,                0.75555,                0.88386,                0.81579,                0.84757,                 0.4804,                0.61189,                0.33601,                0.48611,                0.95974,             0.00018768,             0.00018768,             0.00018768
                     96,                0.32533,                0.33382,                0.28527,                0.79476,                0.89384,                0.82895,                0.86706,                0.75755,                0.86523,                0.80263,                0.83315,                0.47488,                0.61469,                 0.3319,                0.48838,                0.96063,             0.00016094,             0.00016094,             0.00016094
                     97,                0.35033,                0.37426,                0.30122,                0.80588,                0.90327,                0.82895,                0.86446,                 0.7571,                0.87435,                0.80263,                0.83149,                0.46781,                0.60763,                0.33068,                0.49251,                0.95799,             0.00013903,             0.00013903,             0.00013903
                     98,                0.34969,                0.37066,                0.29281,                0.80141,                0.89787,                0.82895,                0.87548,                0.75596,                0.86817,                0.80263,                 0.8442,                 0.4759,                0.60694,                0.33567,                  0.489,                0.95702,             0.00012197,             0.00012197,             0.00012197
                     99,                0.36347,                 0.3947,                0.31621,                0.80501,                0.89509,                0.82895,                0.86489,                0.74988,                0.88088,                0.81579,                  0.848,                0.47594,                0.61916,                 0.3476,                0.49326,                0.96622,             0.00010977,             0.00010977,             0.00010977
